id,date,country,sex,sex_qf,age_group,age_group_qf,total_positive,crude_rate_positive,total_deaths,crude_rate_deaths,total_negative,crude_rate_negative
1,20220131,S92000003,Female,,0 to 14,,96640,23058.44064431926,2,0.4772028279039582,203577,48573.76004810204
2,20220131,S92000003,Female,,0 to 59,,523165,25662.438850194812,352,17.26640443314934,1205318,59123.60243907584
3,20220131,S92000003,Female,,15 to 19,,49671,36016.18411607317,1,0.7250948061459036,77109,55911.33540710448
4,20220131,S92000003,Female,,20 to 24,,57569,34175.1111586021,3,1.7809121832202452,126022,74811.37171792725
5,20220131,S92000003,Female,,25 to 44,,201226,27837.324863321457,55,7.608623475508533,455883,63066.21992518649
6,20220131,S92000003,Female,,45 to 64,,142919,18508.748073610735,489,63.32802362174133,443658,57456.00062162477
7,20220131,S92000003,Female,,60+,,75273,9876.441158989013,4517,592.6678186753999,382855,50233.747557885814
8,20220131,S92000003,Female,,65 to 74,,24939,8154.690279376374,750,245.23909176519825,142875,46718.04698127027
9,20220131,S92000003,Female,,75 to 84,,14843,7729.521428943393,1425,742.0715513201062,89576,46646.8780919648
10,20220131,S92000003,Female,,85plus,,10631,12897.785865938733,2144,2601.152562936002,49473,60021.83803457689
11,20220131,S92000003,Male,,0 to 14,,97406,22103.51705655565,1,0.22692151465572602,217674,49394.91378117051
12,20220131,S92000003,Male,,0 to 59,,478209,23688.84089344185,468,23.18312189467531,1095592,54271.88650177589
13,20220131,S92000003,Male,,15 to 19,,44159,30621.953164548184,3,2.0803428405001143,69871,48451.87820286117
14,20220131,S92000003,Male,,20 to 24,,51853,29920.601031724964,4,2.3081095428789054,103122,59504.21807018961
15,20220131,S92000003,Male,,25 to 44,,178779,25235.552431324555,77,10.868936156998254,414537,58513.97646381279
16,20220131,S92000003,Male,,45 to 64,,130761,18091.397105619966,710,98.23182711198427,376357,52070.75458645784
17,20220131,S92000003,Male,,60+,,70214,10860.600585922395,4974,769.3711697720966,323587,50051.97199699305
18,20220131,S92000003,Male,,65 to 74,,26372,9403.827570345067,1138,405.79234699881255,132823,47362.52803640007
19,20220131,S92000003,Male,,75 to 84,,13524,9047.606304691055,1866,1248.3609408868315,75382,50430.83839546148
20,20220131,S92000003,Male,,85plus,,5569,12136.59939850935,1643,3580.6128230832937,29413,64100.16126923245
21,20220131,S92000003,Total,d,Total,d,1148772,21016.684961580682,10311,188.63885839736554,3032663,55482.30881814855
