"id","date","country","sex","sex_qf","age_group","age_group_qf","total_positive","crude_rate_positive","total_deaths","crude_rate_deaths","total_negative","crude_rate_negative"
1,20220131,"S92000003","Female","","0 to 14","",96640,23058.4406443193,2,0.477202827903958,203577,48573.760048102
2,20220131,"S92000003","Female","","0 to 59","",523165,25662.4388501948,352,17.2664044331493,1205318,59123.6024390758
3,20220131,"S92000003","Female","","15 to 19","",49671,36016.1841160732,1,0.725094806145904,77109,55911.3354071045
4,20220131,"S92000003","Female","","20 to 24","",57569,34175.1111586021,3,1.78091218322025,126022,74811.3717179272
5,20220131,"S92000003","Female","","25 to 44","",201226,27837.3248633215,55,7.60862347550853,455883,63066.2199251865
6,20220131,"S92000003","Female","","45 to 64","",142919,18508.7480736107,489,63.3280236217413,443658,57456.0006216248
7,20220131,"S92000003","Female","","60+","",75273,9876.44115898901,4517,592.6678186754,382855,50233.7475578858
8,20220131,"S92000003","Female","","65 to 74","",24939,8154.69027937637,750,245.239091765198,142875,46718.0469812703
9,20220131,"S92000003","Female","","75 to 84","",14843,7729.52142894339,1425,742.071551320106,89576,46646.8780919648
10,20220131,"S92000003","Female","","85plus","",10631,12897.7858659387,2144,2601.152562936,49473,60021.8380345769
11,20220131,"S92000003","Male","","0 to 14","",97406,22103.5170565557,1,0.226921514655726,217674,49394.9137811705
12,20220131,"S92000003","Male","","0 to 59","",478209,23688.8408934419,468,23.1831218946753,1095592,54271.8865017759
13,20220131,"S92000003","Male","","15 to 19","",44159,30621.9531645482,3,2.08034284050011,69871,48451.8782028612
14,20220131,"S92000003","Male","","20 to 24","",51853,29920.601031725,4,2.30810954287891,103122,59504.2180701896
15,20220131,"S92000003","Male","","25 to 44","",178779,25235.5524313246,77,10.8689361569983,414537,58513.9764638128
16,20220131,"S92000003","Male","","45 to 64","",130761,18091.39710562,710,98.2318271119843,376357,52070.7545864578
17,20220131,"S92000003","Male","","60+","",70214,10860.6005859224,4974,769.371169772097,323587,50051.9719969931
18,20220131,"S92000003","Male","","65 to 74","",26372,9403.82757034507,1138,405.792346998813,132823,47362.5280364001
19,20220131,"S92000003","Male","","75 to 84","",13524,9047.60630469105,1866,1248.36094088683,75382,50430.8383954615
20,20220131,"S92000003","Male","","85plus","",5569,12136.5993985094,1643,3580.61282308329,29413,64100.1612692324
21,20220131,"S92000003","Total","d","Total","d",1148772,21016.6849615807,10311,188.638858397366,3032663,55482.3088181486
